id,text,user_name,created_at,location,timestamp_ms,quote_count,reply_count,retweet_count,favorite_count,hashtags
1.2500142360147763e+18,RT @eileeniorio: Talking to the @BBCNews  @BillGates reveals that rushing a #COVID19 vaccine will compromise safety BUT it’s for the public…,ChrisJGodlewski,Tue Apr 14 10:53:12 +0000 2020,"Alsace, France",1586861592664.0,0.0,0.0,0.0,0.0,COVID19
1.2500142352470426e+18,"My tribute for today. Congratulations on  executing your mission successfully. 

HAHAHA. Buti di siya nahuli sa ""fa… https://t.co/yKFBSdl08x",bearhugz25,Tue Apr 14 10:53:12 +0000 2020,Philippines,1586861592481.0,0.0,0.0,0.0,0.0,
1.2500142362076938e+18,"RT @Brevesdepresse: ⚡🇲🇫FLASH - Considérés comme stagiaires, les étudiants #infirmiers travaillent comme les autres ds les unités #Covid19 d…",Reazy92i,Tue Apr 14 10:53:12 +0000 2020,"Poitiers, France",1586861592710.0,0.0,0.0,0.0,0.0,infirmiers
1.2500142362916168e+18,Ok @opodo I'm now at the end of my tether. Had booked through you to fly from Belfast to London tomorrow with… https://t.co/oLfHkQ4YDo,Lesley_Allen_,Tue Apr 14 10:53:12 +0000 2020,Bangor Co Down,1586861592730.0,0.0,0.0,0.0,0.0,
1.2500142364971295e+18,"RT @PresidenciaSV: Este es el Decreto Ejecutivo 19, que establece las medidas extraordinarias de prevención y contención para declarar el t…",tecmel1,Tue Apr 14 10:53:12 +0000 2020,el salvador,1586861592779.0,0.0,0.0,0.0,0.0,
1.2500142359600824e+18,"Don't go out! #StayIndoor and order!
During this #Lockdown #StayIndoors and get your #DailyEssentials from your nei… https://t.co/s5IpET0mKJ",ezeeServe,Tue Apr 14 10:53:12 +0000 2020,Pune,1586861592651.0,0.0,0.0,0.0,0.0,StayIndoor
1.2500142367150203e+18,RT @mohdmoazamkhan: Today along with AIMIM Corporator Mohd Saleem distributed Relief (Ration Kits) among 200 families who have been affecte…,k_moin222,Tue Apr 14 10:53:12 +0000 2020,"AIMIM Hyderabad,TG india",1586861592831.0,0.0,0.0,0.0,0.0,
1.250014235033297e+18,Hospitals are seeing fewer children in A&amp;E during the #covid19 pandemic &amp; this is worrying health professionals. Th… https://t.co/Ifuy83GxBE,EF_Frontline,Tue Apr 14 10:53:12 +0000 2020,"Epping, England",1586861592430.0,0.0,0.0,0.0,0.0,covid19
1.250014236761297e+18,"RT @ianbirrell: It is not a new frontline - this has been entirely predictable from the start, as I and others have warned. It has just bee…",DaveRogersMMCEO,Tue Apr 14 10:53:12 +0000 2020,Black Country & Birmingham,1586861592842.0,0.0,0.0,0.0,0.0,
1.250014237109424e+18,"RT @Fraslin: #Covid19 En Espagne, des familles et des experts en éducation appellent à l'ouverture des écoles (enseignement non universitai…",cdauverchain,Tue Apr 14 10:53:12 +0000 2020,"Montpellier, France",1586861592925.0,0.0,0.0,0.0,0.0,Covid19
1.2500142370255462e+18,RT @ResisteEspana: Absolutamente miserable la actitud de @rtve al servicio de sus amos del #GobiernoDeLaCensura #PedroSanchezDimision https…,DanielaRicoMad,Tue Apr 14 10:53:12 +0000 2020,"Madrid, Spain",1586861592905.0,0.0,0.0,0.0,0.0,GobiernoDeLaCensura
1.2500142370885059e+18,"RT @jidesanwoolu: Dear Lagosians, yesterday H.E Pres. @MBuhari announced a 2 weeks extension of the lockdown. This was a tough decision but…",ibigbemiajax,Tue Apr 14 10:53:12 +0000 2020,"Abuja, Lagos, Nigeria",1586861592920.0,0.0,0.0,0.0,0.0,
1.2500142373986836e+18,RT @siddhsingatiya: @jitupatwari In this critical #Covid19 we are fighting 2 ways 2 survive companies firing employees and Corona pandemics…,siddhsingatiya,Tue Apr 14 10:53:12 +0000 2020,"Indore, India",1586861592994.0,0.0,0.0,0.0,0.0,Covid19
1.2500142375037706e+18,"RT @sanjum: I don’t usually rant on social media.  However, after a week of service in the ICU, I’d like to get a few things off my chest.…",rtrimpe,Tue Apr 14 10:53:13 +0000 2020,United States,1586861593019.0,0.0,0.0,0.0,0.0,
1.2500142378099548e+18,"Good Morning🖤
I absolutely love this quote by echezonachukwu_nduka
Kindness is what we must arm ourselves with in t… https://t.co/PaEktE9l17",UcEmelife,Tue Apr 14 10:53:13 +0000 2020,"Sokoto, Nigeria",1586861593092.0,0.0,0.0,0.0,0.0,
1.2500142384766525e+18,"RT @ndtv: First #COVID19 case detected in Meghalaya, search for silent carrier on https://t.co/ofVepeIuli https://t.co/7csVp9xtdd",yashuu1997,Tue Apr 14 10:53:13 +0000 2020,HINDUSTAN 🇮🇳,1586861593251.0,0.0,0.0,0.0,0.0,COVID19
1.2500142384975995e+18,"RT @BT21_: We can fight the spread of COVID-19 together by sticking to the basics. 💓

Follow the steps to protect yourself with BT21! 📝

#C…",wilgalorhensi,Tue Apr 14 10:53:13 +0000 2020,"Makassar, Indonesia",1586861593256.0,0.0,0.0,0.0,0.0,
1.250014238724305e+18,"RT @SpokespersonCHN: Premier Li Keqiang at the Special 10+3 Summit on #COVID19: China is ready to send an additional 100 mil. masks, 10 mil…",SafiSina1,Tue Apr 14 10:53:13 +0000 2020,Afghanistan,1586861593310.0,0.0,0.0,0.0,0.0,COVID19
1.2500142387410698e+18,"RT @menzingubaneza: The numbers of those infected by #Covid19 keep rising, it’s up to us ekhaya,in communities,where ever you are, to ensur…",tumelonation,Tue Apr 14 10:53:13 +0000 2020,Phalaborwa (south africa),1586861593314.0,0.0,0.0,0.0,0.0,Covid19
1.2500142384600515e+18,"“The battle against #COVID19 is war, and as in wars, the issue is not the dollar-cost of reducing casualties. The i… https://t.co/TsTnh8Szuf",voxeu,Tue Apr 14 10:53:13 +0000 2020,"London, United Kingdom",1586861593247.0,0.0,0.0,0.0,0.0,COVID19
1.2500142389381857e+18,"RT @ANI: As #COVID19 continues to spread, vulnerable communities within Pakistan are fighting hunger and to keep their families safe and he…",imabhinav8yadav,Tue Apr 14 10:53:13 +0000 2020,India,1586861593361.0,0.0,0.0,0.0,0.0,COVID19
1.250014239005139e+18,"RT @ABSCBNNews: JUST IN: Marikina City Mayor Marcy Teodoro decides to open the #COVID19 testing center on Friday without DOH approval, invo…",ellesrrb,Tue Apr 14 10:53:13 +0000 2020,Marikina City,1586861593377.0,0.0,0.0,0.0,0.0,COVID19
1.2500142391562445e+18,RT @DiabetesMadrid: Hoy SM la Reina se ha reunido en Videoconferencia con la Asociación Diabetes Madrid y Fundación para la Diabetes para c…,JAVIERGIG,Tue Apr 14 10:53:13 +0000 2020,VALLADOLID,1586861593413.0,0.0,0.0,0.0,0.0,
1.2500142391018004e+18,"ÚLTIMA HORA
[Balance Coronavirus🔴] Andalucía solo registra 119 contagios nuevos de coronavirus en las últimas 24 ho… https://t.co/iVyFbalpz0",abcdesevilla,Tue Apr 14 10:53:13 +0000 2020,Sevilla,1586861593400.0,0.0,0.0,0.0,0.0,
1.2500142392485233e+18,#COVID19: Bollywood actress Sunny Leone shares a video of her signature dance moves amid coronavirus lockdown.… https://t.co/N3oqU2uvXJ,SaeedSAC,Tue Apr 14 10:53:13 +0000 2020,"Karachi, Pakistan",1586861593435.0,0.0,0.0,0.0,0.0,COVID19
1.250014239387013e+18,"RT @TUeindhoven: It was hard to miss last week, the research @realBertBlocken and colleagues presented about walking and running at 1,5 met…",tuecursor,Tue Apr 14 10:53:13 +0000 2020,"Eindhoven, the Netherlands",1586861593468.0,0.0,0.0,0.0,0.0,
